window_start,train_loss,eval_loss,mae,rmse,r2
132,0.15375320143169827,0.1496099978685379,0.06117793545126915,0.07885790904458559,0.9250744581222534
138,0.15266435225804648,0.15084971487522125,0.06480150669813156,0.08456273595600097,0.9123594760894775
144,0.15153358379999796,0.14644300937652588,0.06050475686788559,0.07833598080062544,0.9238122701644897
150,0.15320637385050456,0.14559359848499298,0.06056572496891022,0.07820373084760618,0.923414945602417
156,0.15205957969029746,0.14465495944023132,0.06048353761434555,0.07840310605531767,0.9217230081558228
162,0.14968757443957859,0.1532571166753769,0.05966052785515785,0.0776416369145949,0.920954167842865
168,0.15191986110475328,0.14347544312477112,0.05963180959224701,0.07732001672607045,0.9190649390220642
174,0.1504751576317681,0.14478345215320587,0.059616029262542725,0.07775878007969587,0.9149326682090759
180,0.1476840286784702,0.1449398249387741,0.058811210095882416,0.0765977319842218,0.9146434664726257
186,0.14842606862386068,0.1443249136209488,0.05959651991724968,0.07787023968176808,0.9104316234588623
192,0.1479023027420044,0.1463022530078888,0.058507420122623444,0.07674802919216027,0.912093460559845
198,0.14634351015090943,0.14671003818511963,0.061005644500255585,0.07939515846727277,0.9050028920173645
204,0.14470573716693455,0.144217848777771,0.058478374034166336,0.07668538498468509,0.9102364182472229
210,0.14505917946497598,0.1449906975030899,0.0580507256090641,0.07647245352186666,0.9088888168334961
216,0.14292818943659463,0.14579246938228607,0.06043834611773491,0.07944344882221496,0.8978744149208069
222,0.14299426158269246,0.14676600694656372,0.05855108052492142,0.076935934189513,0.9023262858390808
228,0.14052615642547608,0.1512652486562729,0.05921584740281105,0.07755298717679596,0.9004715085029602
234,0.14214566813574897,0.15130460262298584,0.06035224720835686,0.07867475439975176,0.8973597884178162
240,0.14152470403247408,0.1537466198205948,0.05878680944442749,0.07748701248730187,0.9019808769226074
246,0.13992691397666931,0.1550167202949524,0.06127375736832619,0.079535574050712,0.9014914035797119
252,0.1405796660317315,0.15334132313728333,0.05978623405098915,0.07856777900119007,0.9088636040687561
258,0.13933127350277372,0.15589550137519836,0.06027397885918617,0.07919076611042754,0.9111364483833313
264,0.1381189987394545,0.1516667902469635,0.05881265550851822,0.07712042879553042,0.9188504815101624
270,0.13771413008371988,0.152089923620224,0.06000849977135658,0.07913641985767088,0.9169446229934692
276,0.1367202381292979,0.15334412455558777,0.06056540086865425,0.07919076905055113,0.9181869029998779
282,0.13728263643052843,0.15423014760017395,0.0600268617272377,0.07835727078872917,0.9212138056755066
288,0.13545808129840428,0.15959759056568146,0.060814812779426575,0.08027662122404168,0.919008731842041
294,0.13642195092307197,0.15439490973949432,0.057589106261730194,0.07649935726600114,0.9274498224258423
300,0.13488047295146519,0.16288729012012482,0.06042785942554474,0.0801698142327525,0.9202176928520203
306,0.13645120051172044,0.16003531217575073,0.06122633069753647,0.08144123332468034,0.9175387024879456
312,0.13685916675461662,0.15946973860263824,0.05965478718280792,0.07894604607080358,0.9225118160247803
318,0.13630924966600205,0.16320639848709106,0.06168258935213089,0.08184863096771088,0.9166893362998962
324,0.13601069344414604,0.1700093150138855,0.0637892410159111,0.08389736814036752,0.912375807762146
330,0.1356233983569675,0.1594650000333786,0.059823762625455856,0.07946757127586702,0.9212393164634705
336,0.13443760858641732,0.16137173771858215,0.06076771393418312,0.08081940029084891,0.9182918071746826
342,0.13469132158491345,0.16282051801681519,0.06052212044596672,0.08027316682774559,0.9193642735481262
348,0.13375883049435086,0.16373740136623383,0.05967649817466736,0.07918535609813088,0.9213835000991821
354,0.13455057938893636,0.164177805185318,0.060407109558582306,0.07962862485827013,0.9198188185691833
360,0.13359182172351414,0.16009314358234406,0.05963807553052902,0.0791463754425041,0.9202902317047119
366,0.1335186983479394,0.16231697797775269,0.05966545268893242,0.07913328347135165,0.9202001094818115
372,0.13275865170690748,0.15921302139759064,0.06148343160748482,0.08064515859849987,0.9170246720314026
378,0.13247859067387052,0.16152171790599823,0.05934279039502144,0.07837242939545816,0.9215930700302124
384,0.13271112574471366,0.16063369810581207,0.05819142609834671,0.07722122645719985,0.9238021373748779
390,0.1319909589820438,0.16994869709014893,0.06002683565020561,0.07960235462268204,0.9190939664840698
396,0.13163053737746344,0.17077109217643738,0.06336835771799088,0.08269098347562066,0.9128087759017944
402,0.12986078752411737,0.17167092859745026,0.0611705519258976,0.0838086152104475,0.9112817049026489
408,0.1309219710032145,0.19221104681491852,0.06537098437547684,0.09532898639145342,0.8923102021217346
414,0.13378368947241043,0.19153767824172974,0.06670799851417542,0.09836070607491382,0.8886356949806213
420,0.1349825682904985,0.19228887557983398,0.06691774725914001,0.09814081137520582,0.8908708691596985
426,0.13721910145547656,0.19547642767429352,0.06663081794977188,0.09781565054795084,0.8922191858291626
432,0.13629655652576023,0.1945059448480606,0.07211519032716751,0.10340054430975137,0.8802198767662048
438,0.13226099345419143,0.1938069462776184,0.06707803905010223,0.09810817576551965,0.8908935189247131
444,0.13053852399190266,0.19532020390033722,0.06690889596939087,0.09773624958097607,0.8883062601089478
450,0.13060573167271083,0.1920233964920044,0.06631489098072052,0.09728000163108452,0.8859618306159973
456,0.13006633361180622,0.19343984127044678,0.0646166056394577,0.09569941241011458,0.8874198198318481
462,0.13109661936759948,0.19260196387767792,0.06496862322092056,0.09537519499651323,0.8834392428398132
468,0.13092571867836847,0.19599281251430511,0.06637030094861984,0.09706898540610494,0.8746083974838257
474,0.129240003824234,0.19634807109832764,0.06640040874481201,0.09705325404667507,0.870500922203064
480,0.1296924210919274,0.19714587926864624,0.0660882294178009,0.09673262119967806,0.8656521439552307
486,0.129978176885181,0.19837771356105804,0.07083975523710251,0.10189589925984323,0.8398598432540894
492,0.13045424673292372,0.20430953800678253,0.06530272960662842,0.09653276299630505,0.845067024230957
498,0.12954631355073717,0.1993407905101776,0.06678604334592819,0.09828743091912179,0.8215487003326416
504,0.13011371307902866,0.20331990718841553,0.06492142379283905,0.09594885749564078,0.8088287115097046
510,0.12947198470433552,0.2012445330619812,0.064606212079525,0.09517805905026538,0.7970355153083801
516,0.13063172976175944,0.19732964038848877,0.06363709270954132,0.09425087088655586,0.7931577563285828
522,0.1307557201385498,0.19463877379894257,0.06487937271595001,0.09552453856092187,0.781333327293396
528,0.12995710651079814,0.19495141506195068,0.06486588716506958,0.09551499326114174,0.778314471244812
534,0.12874757713741727,0.20295917987823486,0.0658811628818512,0.09663714811998439,0.7681154608726501
540,0.12964990655581157,0.20346024632453918,0.06628783047199249,0.09727546841247102,0.757529616355896
546,0.1312234852049086,0.20199449360370636,0.06643489003181458,0.09754108313811381,0.7501782178878784
552,0.13232883135477702,0.19685152173042297,0.06677382439374924,0.09806593314586452,0.7431252002716064
558,0.13100189407666524,0.19944626092910767,0.06619029492139816,0.09694006084887799,0.7452141046524048
564,0.12921531915664672,0.1979096382856369,0.0667828619480133,0.09738215605005363,0.738923192024231
570,0.12937186386850144,0.1979399174451828,0.0644136369228363,0.09414162397843896,0.7536526322364807
576,0.12837064690060085,0.1965670883655548,0.06587237864732742,0.09636080779137268,0.7419265508651733
582,0.12716797841919794,0.19800715148448944,0.06504330039024353,0.09541606670021656,0.750247061252594
588,0.1293093258804745,0.19872911274433136,0.06530360877513885,0.09581181135073212,0.7544240951538086
594,0.12910586595535278,0.19904214143753052,0.06540355086326599,0.09576289101337702,0.7615153193473816
600,0.13022954093085395,0.19529327750205994,0.0659901350736618,0.09660630861185432,0.7637778520584106
606,0.1295167134867774,0.19691070914268494,0.06547266989946365,0.0956659244715968,0.7761415243148804
612,0.12784456491470336,0.19459295272827148,0.06524290144443512,0.09486046401850075,0.78802889585495
618,0.12652601414256626,0.19651784002780914,0.06672467291355133,0.09737902870738237,0.7848944067955017
624,0.12720396995544433,0.19562073051929474,0.06770790368318558,0.09772220291829734,0.7924386262893677
630,0.1277425538169013,0.19603164494037628,0.06530968099832535,0.09543179468708614,0.8104339838027954
636,0.13241774373584322,0.200480654835701,0.06498894840478897,0.09503766716976633,0.8194308876991272
642,0.1325544552008311,0.19955582916736603,0.06504420191049576,0.09375374508370991,0.8334424495697021
648,0.13104632867707147,0.20159828662872314,0.06531216204166412,0.09396558550785902,0.8438453078269958
654,0.13073391371303134,0.19966250658035278,0.06358108669519424,0.09189067775742317,0.8593071699142456
660,0.1288990232679579,0.19487161934375763,0.06288674473762512,0.09147991590602816,0.8670271039009094
666,0.12982864605055916,0.19925260543823242,0.0635860338807106,0.0917892655810237,0.8716200590133667
672,0.12748709864086574,0.19722957909107208,0.06355805695056915,0.09173398196838421,0.8749213218688965
678,0.12512407806184556,0.19738535583019257,0.06351020932197571,0.091708490758101,0.8782053589820862
684,0.1265421235561371,0.19597959518432617,0.06319041550159454,0.09148430873956406,0.8815168738365173
690,0.12742646018664042,0.19652055203914642,0.06403610110282898,0.09221103254709417,0.883262574672699
696,0.12724225176705253,0.19371531903743744,0.06343889236450195,0.09211635794471097,0.8869047164916992
702,0.12563757830195957,0.193928524851799,0.06191006302833557,0.0902696548785273,0.8949269652366638
708,0.12597070548269484,0.19672735035419464,0.06304696202278137,0.09051054250282048,0.8985077142715454
714,0.128581333955129,0.19820010662078857,0.06281009316444397,0.09033372722786337,0.9028730392456055
720,0.12680173065927294,0.19418318569660187,0.0617947019636631,0.08962863067531388,0.9078580737113953
726,0.12665046294530233,0.19476453959941864,0.06161822751164436,0.08918156403393974,0.9115923047065735
732,0.12860359668731688,0.1955728679895401,0.062074627727270126,0.08955388370576828,0.9125796556472778
738,0.1271196586555905,0.19260132312774658,0.05864322930574417,0.08566652187464745,0.9210246205329895
744,0.12664373596509299,0.19653473794460297,0.060715388506650925,0.08817295451739646,0.917115330696106
750,0.12603454165988498,0.19363301992416382,0.06122073903679848,0.08828325258785598,0.9177745580673218
756,0.12493346651395162,0.19773249328136444,0.06086873635649681,0.08769829156654033,0.9193960428237915
762,0.12403847071859572,0.19501590728759766,0.06141606345772743,0.08787524300652895,0.919987142086029
768,0.12541479017999438,0.19253411889076233,0.059305693954229355,0.0865355322803873,0.9231391549110413
774,0.1245761059390174,0.19627337157726288,0.05974862724542618,0.08573021870367752,0.9249954223632812
780,0.1250665373272366,0.19622880220413208,0.0602431483566761,0.08680029988935438,0.9233095645904541
786,0.12689434594578214,0.19195455312728882,0.058004144579172134,0.0842642114161032,0.92805415391922
792,0.12755919853846232,0.1936042606830597,0.05949506163597107,0.08588471742410517,0.9255883693695068
798,0.12608933620982699,0.1902289241552353,0.058174166828393936,0.08504310558872814,0.9271469116210938
804,0.12602308140860663,0.18987801671028137,0.05723924934864044,0.08370630950613021,0.9291122555732727
810,0.1246178960800171,0.1947619467973709,0.05876495689153671,0.08495322554215598,0.9265925884246826
816,0.12625281320677864,0.19911575317382812,0.058813534677028656,0.08558485437854323,0.9250637292861938
822,0.12532182137171427,0.19759228825569153,0.05912676826119423,0.08556103338802115,0.9246376752853394
828,0.1246312341425154,0.1989075392484665,0.060614507645368576,0.08666624947947646,0.9219440817832947
834,0.1239428354634179,0.1976766139268875,0.05659626051783562,0.08262106613541793,0.9277116656303406
